,Tweet,Emotion,Intensity
288,All this doom and gloom! We scored from open play again! And only conceded two this time. #progress they means a 1-1 draw on Saturday for me,sadness,0
289,Our soldiers in war zones are held to a higher level of rules of engagement than our police officers. #sad,sadness,3
290,"The bowl on my new food processor broke, @Cuisinart. #sadness.",sadness,2
291,That AK47 leave your spine with a frown,sadness,1
292,@mik61scot @longshankseddie @ROSAZAMBONINI @YouTube I thought it was because she once sunk her teeth into something that's meant 2b sooked,sadness,1
293,U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost 3am...  #pensive,sadness,2
294,7 pax enjoyed the #gloom @Clayorangecrush @F3LakeMurray,sadness,0
295,"I love when #girls are busy in teaching how to #pout while taking #selfie in a mall , their desication is immense #women love #perfection",sadness,0
296,@wabermes The @RavalliRepublic had a good one but then the reporter quit. ,sadness,0
297,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n #TerranceCrutcher #truth ,sadness,2
298,I should have stayed at home.,sadness,1
299,And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla,sadness,2
300,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©,sadness,2
301,A night where depression is winning... #depression #fml #help,sadness,3
302,@ThatWhiteSoxFan @tbtrill not as sad as the White Sox playing record ;),sadness,1
303,"the grave of a beat, a bravehearted cave lover, cage lover, sage #lover who made #soup of you, twisted to spoony #melancholy, spikes, spices",sadness,0
304,@duncantrussell does Remo Williams ever actually 'save' anyone or does he just sulk around killing random undesirables ?,sadness,0
305,she's always so insensitive whenever i grieve idgi,sadness,2
306,@TxDMV @ArkansasBBB i filled out the report on #baitswitch by @Carvana lets go get them fines levied. #badbusiness #honoryourdeal #unhappy,sadness,2
307,"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem",sadness,3
308,@DoubleEph sadly his best days are behind him,sadness,2
309,"@KhoroshiySoldat --prepared.\n\n'Not as far as I know.' was her dull reply. 'There are still survivors, members from it. Like I said,-/",sadness,0
310,@macmacm43 jeezus God #dark,sadness,1
311,@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,sadness,3
312,"@Courteoussoul @MattyMcDee I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?",sadness,0
313,It's become a verb. 'I'm gonna VillaseÃ±or all those old contacts I don't need anymore.' #sadness @melissavcomedy #waitingforexplanation,sadness,2
314,Ffs clan... seriously never been so disheartened,sadness,3
315,@theflabar It's a #foggy and #dark morning here - so #filter this time.  For #lighting purposes. :),sadness,1
316,"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",sadness,3
317,@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.,sadness,2
318,@chrislhayes It's hard for most folks to realize how deep the hatred is until you dive into the murky end of the pool. This guy is nuts.,sadness,2
319,UPLIFT: If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!,sadness,0
320,@reillygolfpro @RealKidPoker @StacyAcey @WSOPTD no he didn't! They are obviously friends and that clouded his judgement,sadness,1
321,Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings #serious,sadness,0
322,@1ChiefsDan Is that pessimism or do you just want him to get another week of rest and healing?,sadness,0
323,@TrueRyuga I tore my MLC playing football in HS. Knees are serious business. Take care of them! Lemme know if you need anything.,sadness,0
324,"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,0
325,@ksmitely @CitizenMeh I feel strongly that we need to work together to right this dreadful wrong.,sadness,0
326,"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",sadness,0
327,My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe,sadness,3
328,"this country is going to go to crap no matter who wins this november, isnt it? The more i learn of both the more despondent i am of future",sadness,2
329,@Fra93_bruno wow I'm just really sadden by that. Terrible,sadness,3
330,The weather changed from sunny and bright to gloomy just in time to match my afternoon mood. ðŸ˜’,sadness,3
331,@loueezecee I don't know how much more of that bloody pout I can take!!,sadness,2
332,My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,sadness,3
333,"@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.",sadness,0
334,"@British_Airways In your Concorde Lounge in Terminal 7 JFK. So saddened to have to say, service so far is dismal. Don't expect a reply.",sadness,2
335,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,sadness,2
336,"@kole_holland don't fret, there's another game on at 8 #staytuned",sadness,0
337,@jaymohr37 droop saw naked wrestling and asked 'What if I get a hole in one?' #jaymohrsports,sadness,0
338,Man city's kit is dreadful!,sadness,2
339,@questlove when are people going to realize that these 'riots' are just perpetuating hate. Saying you're going to boycott a city!?! #lost,sadness,1
340,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam,sadness,3
341,"@StarklyDark 'Come here. Come on. Into my arms. I'm not going anywhere, Tony, I swear.' Steve told him, quiet and solemn.",sadness,1
342,"But When it come to a serious situation, I be glad I gave it deep thought ðŸ’¯",sadness,0
343,First weekend of fall; let's see if I can stay disciplined to this seasons goals. #fitness #running #sober #Mindset #firstfriday #family,sadness,0
344,I have no clue where my charger is... #lost,sadness,2
345,@BroggersM19 @Calum250284 He had been retired 20 minutes ago by most blues on here ðŸ˜Š,sadness,0
346,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad,sadness,2
347,@EmotionalLimine you're sadly mistaken if you think I'd make a tweet for an isolated comment by a random twitter user.,sadness,1
348,"@ProSyndicate thanks for replying, I'm ironing my shirtðŸ˜‚ I'd love to meet you and get an autograph but sadly I'm too young to travel.",sadness,0
349,Lost: Geelong football team. \nLast seen entering through the banner not sure where they've been since... #unhappy #playwithsomeheart,sadness,2
350,"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor",sadness,0
351,@downseung I'm sorry about your loss... no one should ever give you shit for taking your time to mourn. No matter how long it takes.,sadness,3
352,That's the old me though #imachildofgod #whatistwerking #sober #married #bye,sadness,1
353,The most depressing part of being ill is that your taste goes ðŸ˜«,sadness,3
354,I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy,sadness,3
355,My encouragement today is my dog while my head is in a fog. #epicfail  #feelingfedup #tired #ihaveheardeverything #wondering,sadness,2
356,"Don't be disheartened if you didn't get the cards you wanted, it's not the end of the world......E-Eh...? Y-You want me to cheer you up?",sadness,1
357,Headed to MDW w/ layover in SLC. Got off for food. Wrong move. Bailed on my food &amp; barely made it. @SouthwestAir #WannaGetAway #Contest ,sadness,1
358,@GrimsToyShow grim what the fuck going on with these dame fucking clowns takeing the gameing channel if I had a way to nj I would delete,sadness,1
359,@SkyNews err I wasnt gloomy.  17.2 mio people were not gloomy only #remain were #Brexit,sadness,1
360,"@GriffinLaneP @Mediaite The Left has been protected so long, they've lost their reasoning power.",sadness,0
361,Ffs dreadful defending,sadness,1
362,I know it's the final day of summer when it's the finale of @CBSBigBrother #sadness,sadness,3
363,Why can't you just be mine. #forlorn,sadness,3
364,When you burst out crying alone and u realize that no one truly knows how unhappy you really are because you don't want anyone to know,sadness,3
365,Wow the #Denver housing market is #depressing no places to buy in my range ðŸ˜¢ #FML,sadness,3
366,@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,1
367,Can it be 10 PM so I can sulk in my tub while listening to Lana,sadness,2
368,"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP",sadness,3
369,"@ExaltedChampion - the jest, Kara didn't chuckle, instead her baby blues were narrowed in on Adam like a warning. If his brain /wasn't/ -",sadness,1
370,We stayed up all night long\nMade our drinks too strong\nFeeling ten feet tall\nRopes swinging into the water\nIn the middle of the night,sadness,0
371,Too many gloomy days,sadness,3
372,i can't take u #serious unless u use #emojis,sadness,0
373,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall,sadness,2
374,My heartbeat is forever stumbling on memories of things past. #longing #loss #shape #form #sadness,sadness,3
375,Never a dull moment when talking to Nell ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‹,sadness,0
376,@ryyyshh story of my life. #lost,sadness,3
377,"@yukkikuma_cos cheer up, luv. your face is alot prettier when you're not frowning. &lt;3",sadness,0
378,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired ,sadness,3
379,"@LBardugo Start w/ the 3 songs in Blue Neighborhood\n1) Wild\n2)Fools\n3)Talk Me down ðŸ˜­ðŸ˜­for #Wesper\nAlso,\n4)Too Good.  #serious kaz/inej feelz",sadness,0
380,Synth backing tracks = sadness\n#depresspop #dark #+++ #alt #fuckingmeup,sadness,3
381,@againstallaudss @groovydadad @Thelostchild5 @MHChat indeed &amp; is sadness unavoidable? #MHChat,sadness,3
382,@CornerBakery Sorry I missed you :) I stayed up late working and pondering life,sadness,2
383,Going home is depressing,sadness,3
384,@_JuliaSteiner : YES ! Right ? I mean I wish you hadn't been discouraged to see #MikeandMolly because so many parallels really -,sadness,0
385,Nobody wants a grouch but DONT move to SD if you want to be a rapper. #serious,sadness,0
386,Once I have sent a pitch to a brand I close all tabs relevant to them instantly. Thats the kind of detachment I create for myself. #serious,sadness,2
387,The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim,sadness,3
388,After she threw me out I had to sedate her. With a damn horse tranquilizer.',sadness,0
389,"Everything is far away because time is short, no rest for the weary.",sadness,1
390,hate to see y'all frown but I'd rather see him smiling ðŸ’•âœ¨,sadness,0
391,In serious need of a nap,sadness,0
392,I am more comfortable here at the Dove House than I was in my own home for 24 years. This is HOME &amp; I am very grateful. #dove #indy #sober,sadness,0
393,Has anyone noticed that @npr stories in recent days all paint positive accomplishments for Trump and challenges for Hillary? #surprised #sad,sadness,1
394,Unmatched Party Specialist /co @T3RevNeverEnd #serious #job #titles,sadness,0
395,"Wanna pop some pills, sedate myself, and wake up tomorrow.",sadness,3
396,@KatelynKolsrud thanks mucho kateðŸ’• #sober,sadness,0
397,@Samkingftw nahh thats grim,sadness,1
398,"but losing these games are the worst, you end up feeling a mixture of anger and sadness and shame and anxiety and it lasts for days",sadness,3
399,i love the word fret so much and im in heaven,sadness,0
400,@childctweets sad people are that sick and boring ðŸ˜¬ðŸ˜¬ðŸ˜¬,sadness,3
401,"I'm done with your piano, blues playing, smooth talking ass. On to the nexttt",sadness,0
402,@Netflix_ME penny dreadful season 3?,sadness,0
403,In other news. My legs hurt. #running #5kin26mins #dreadful #flatfeet,sadness,2
404,"why yall hyped abt that girl getting to hang out w JB, he clearly looks so unhappy and bored in the pics no offense LOL, plus he hates yall",sadness,2
405,yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,sadness,0
406,Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,0
407,&amp; like if your unhappy just leave. don't cheat on someone &amp; than up their view on love &amp; shit ðŸ’¯..,sadness,1
408,Probs spent a grand total of five minutes sober since Sunday evening :) #freshers,sadness,1
409,@ManUtd Rooney needs to come off! Absolutely dreadful! ðŸ™ˆðŸ™ˆðŸ™ˆ class goal from @carras16 @carras16 showing why he should be in the team!!,sadness,1
410,Gonna be a loooooong year as a Browns fan. Longer than normal and that's #sad,sadness,2
411,"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,0
412,Do not grow weary in doing good. The treadlines are better than deadlines.' @billclinton #CGI2016,sadness,0
413,"@nigeriaLNG @TonyAttah #lestweforget 3 yrs on, 2013 Graduate Trainee recruitment not concluded. #disappointed #weary however  #wewait",sadness,2
414,carry on my wayward son there'll be peace when you are done lay your weary head to rest don't you cry no more,sadness,1
415,@j__a__i I actually understand it for plumbers etc. Wire would get in the way while under a sink,sadness,0
416,@SWP_Roads   How dull.,sadness,1
417,"#AutumnalEquinox the nights are drawing in, what a great time to look at putting up some new #lights #dark #showroom #news #wirral",sadness,0
418,Go help the cause.@plantingaseed.net. #recovery  #sober #addiction,sadness,0
419,Sometimes the support network is causing the damage. \n\n #support #Damaged #alone #tired  #hurt #nojustice  #surivivor #NoMore,sadness,2
420,"@Ren102e906 Just do what you can, don't get discouraged, maybe some prayers for divine intervention to help you would help :)",sadness,1
421,Back in Cardiff after an amazing 10 days away ðŸ˜­ #depressing,sadness,3
422,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",sadness,1
423,@Conorojo Loool understand the pessimism but it will ðŸ˜‚,sadness,0
424,2 applications for my dbs and still waiting. Been over a year now. Going to loose my job ðŸ‘ðŸ¿ @GOVUK  #thanks #unhappy #crb,sadness,3
425,I wonder if the #wolfcreek TV show is sponsored by the anti-tourist board of Australia to discourage visitors? #stayathome #dontvisit,sadness,0
426,@WilsonsWorld I was in high school and remember helping neighbors clean up back home in Greenville.  Pretty sobering stuff.  #sadness,sadness,3
427,@RIPPoohSavage u know ion play that shit bout my weary brother,sadness,2
428,"The man who is a pessimist before 48 knows too much; if he is an optimist after it, he knows too little.'\n-Mark Twain",sadness,0
429,why the fuck does my mum want me to put corn in the curry?! #grim,sadness,2
430,Trying to make a #better_world is #depressing when it's a #failure -__-,sadness,3
431,#Always #borrow #money from a #pessimist. He won't #expect it #back.,sadness,0
432,@funkxwidme only #true #depression #fans will get this one ðŸ˜‚ðŸ˜‚,sadness,2
433,"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-",sadness,0
434,When will the weeks full of Mondays end?? ,sadness,3
435,Currently unfollowing anything relating to disneyworld or Florida! #holidayblues #depressing #wantogoback ðŸ˜­ðŸ’”,sadness,3
436,@HutchinsonDave I don't know whether to despair or agitate for a cull.,sadness,3
437,Marcos rojo plays for man united !!  Just let that sink in !!!,sadness,0
438,Nature looks a lot greener on gloomy dayz,sadness,2
439,"@SentinalsMom *Baal dashed forward, boosted forward by her power of flight. Her sword pointed at Void, meant to stop just short of her--",sadness,0
440,Does she really need to pout all the time - getting on my nerves #GBBO,sadness,2
441,Dream show how cisco 642-188 pdf melancholy: aHid,sadness,0
442,"I'm slugging vitamin D pills by the handful, like they were m&amp;ms. When will this eternal winter end?! #Melbourne #grim #overit",sadness,2
443,"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, ",sadness,1
444,Im having a real life conundrum cuz i cant find a good spot for my mini hoop and its really starting to depress me,sadness,2
445,@RobertWesley3 I'm #mad that my brother is #sad ! Feel better bub!,sadness,2
446,"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,",sadness,0
447,@raylewis name change Uncle Remus Lewis #foh #theydontlikeyoueither #lost #unwoke,sadness,1
448,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,sadness,2
449,@Samkingftw ew omg that is so grim,sadness,3
450,"... Huh. Perhaps... Because we're both so dreary, we get along well?",sadness,2
451,"There is no dark side in the moon. In fact, it's all dark.'\nGerry O'Driscoll at the end of 'The Dark side of the Moon'",sadness,0
452,MY CAR IS DENTED FROM THE HAIL sad,sadness,3
453,@hotelplanner I stayed at a hotel who  packed picnic lunches to take on the road!! #BetterTogether @Redlizzy1 @NewfieChic @Ladybug_Vic,sadness,0
454,Drinkin me some red wine &amp; listening to some fred mcdowell playing the #blues . He did not play no #rocknroll. Fantastic noise  #justsaying,sadness,0
455,@tonygoldmark Yeah I won't mourn it but I'm glad I rode it the last time I visited.,sadness,0
456,Yes I am picking up sticks and pine cones in my front yard,sadness,0
457,Do you know how much it hurts to see you best friend sad?,sadness,3
458,"@Megane_Matt @HikariMorou next to despair, hope shines even brighter (you get me Matt)",sadness,0
459,"Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.",sadness,0
460,"@katethecursed @shannonrdk LOL this day is too gloomy for being people, should've canceled and stayed in bed",sadness,2
461,How a dad would feel knowing his daughter is getting dashed around for whines in the raveðŸ˜­,sadness,2
462,I think learning classical or ancient Japanese might help me get myself permanently out of depression. I sometimes suffer from sudden,sadness,3
463,"Feminists should ask themselves, why they're so unhappy, and why they lack love in their lives. Is it b/c they are fighting a losing game?",sadness,1
464,"I forgot my hair straightner home, I'm feeling lost without it... #lost #lostWithoutMyHairStraightener",sadness,3
465,No quite sure how Craig Gordon's stayed on the park there !!,sadness,0
466,"I truly feel like science has the ability to make a milk out of anything ... cashew milk, hemp milk, pine nut milk, dandelion milk",sadness,0
467,Higginbotham's flippant dismissal of any worries around Carrick's lack of pace is dismal. Against nimble midfielders Carrick will be exposed,sadness,0
468,"So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing",sadness,3
469,@rclemmons much #sadness and #heartbreak,sadness,3
470,"@ynnsanity Maybe that's why, we're asked to study hard and get a job that we like. That way it wouldn't be that dreadful.",sadness,1
471,tim burton never fails to depress me,sadness,2
472,It's dark,sadness,1
473,My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!!  #TerenceCrutcher,sadness,1
474,Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,sadness,0
475,Historically Japanese have always been into #jazz and #blues. The 70s dark age of jazz big names like C.C. &amp; M.D. were surviving on Tokyo.,sadness,0
476,"If you find me lost, will you stay as a passerby or will you get lost with me? #musings #melancholy",sadness,2
477,"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,1
478,@JamesWickham Congratulations!  My top home-owning tip: try not to look at your mortgage balance too often.  The slowness will depress you.,sadness,2
479,@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,sadness,0
480,@WYSdaily I'm confident they will NEVER experience our successes of last 50yrs. Best they can hope for is to be another Bournemouth ,sadness,1
481,"@HoggyBear95 the bantz are absolutely top notch, inconsolable I was when I realised",sadness,2
482,Floofel.i wonder if your mother knows how dark your humor can be.Needs to realize how much of a butt Apple is. Pastels and cats.cutie pie.,sadness,0
483,The pine colada starburst nasty. Don't @ me,sadness,0
484,Lines from Don't Quit take me to a place of ultimate strength when I start to feel weary. ðŸ’ªðŸ¾,sadness,1
485,i am le depressed i l hate myself xDDdD #sad #depress #loner #emo,sadness,3
486,@courtneymee I'm 3 days sober don't wanna ruin it,sadness,0
487,Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings ,sadness,0
488,Awareness of time is awareness of time lost. #awareness #time #lost,sadness,2
489,What a grim night #GetTheFireLit ðŸ”¥,sadness,2
490,Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. â€• Mark Twain,sadness,0
491,David Gilmour's biggest compliment? B.B. King asked him after a gig if he was born in Mississippi #pinkfloyd #theblues #davidgilmour #blues,sadness,0
492,"@coalese ðŸ˜‚ðŸ˜‚ðŸ˜‚. Sure half these stars get together,break up,have affairs,let porn vids slip out,fight,ect etc all to up there ratings. #sad ðŸ˜‚",sadness,1
493,Beats is accurately all-powerful with respect to high-quality high-frequency speaker in re the extra desolate relating to fire-ea:â€¦,sadness,0
494,@Hayles_101 The three R's depress me.,sadness,3
495,@cristinalaila1 just when I thought this disgusting man couldn't sink any lower-like Hillary he his depravity of character has no bottom,sadness,2
496,@yourKarma Reaching out AGAIN in hope to contact over the technical issues I am having. Your CS is severely lacking. #badkarma #unhappy,sadness,2
497,TVGirl is like I'm really pretty and melancholic about life and this is why I hate myself,sadness,3
498,"@leighsteinberg April 25th, 2010 for me. Keep up the good work!! #sober #prouder",sadness,0
499,also who has amazon prime that would like to help a girl out LOL #serious,sadness,0
500,where broken hearted lovers do cry away their gloom,sadness,3
501,"them cold, dark nights are slowly creeping in ðŸŒŒ",sadness,2
502,@PurpleReplisol meden is frowning at you with her non existent face,sadness,1
503,"Haven't been here a while, been watching lots of TV. Conclusion #whataloadoftat...if I wasn't depressed before afternoon TV is ",sadness,2
504,"@todofuku dreadful day at work n now im gonna be late for class n im covered in paint, n now i have to work a night shift too :/",sadness,3
505,"My nephews n cousins are nowhere near bad guys, but they could be killed @ any moment by a cop that thought they were bc of their color ",sadness,3
506,"@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.",sadness,0
507,@Simon_Barrett I will watch @BlairWitchMovie when it opens in Mexico in a week. Thank you for making it and don't be discouraged.,sadness,0
508,How do u grieve someone who legally wasn't a person yet?,sadness,2
509,Over 70% of social sharing is dark &amp; over 50% of web traffic comes from #darksocial. @colinzalewski #LIFTSocial,sadness,1
510,"@AliceGoodman17 i dunno, I'm getting less of the spacious lovely autumnal melancholy from our present apocalypse",sadness,1
511,"@Damn_It_Dillon @SamUndomiel of course! This is a happy hentai, not a sad or gloomy one",sadness,0
512,Mayor visits downtrodden part o town in brave PR stunt. More at eleven.,sadness,1
513,"You know when you're just slightly high, the state between sober and high af? That's beautiful. I wish I could feel like that 24/7.",sadness,0
514,Can I just sulk in peace ðŸ˜‚,sadness,3
515,God knows why you'd wanna go with a girl who's slept with half ya mates #grim,sadness,1
516,Why doesn't anybody I know watch penny dreadful? â˜¹ï¸ï¸,sadness,1
517,@Theresa_Talbot @fleurrbie Haha...sorry about the dreadful puns... I need to get out more....I've been cooped up lately...,sadness,2
518,@urbaneprofessor roast them. Then risotto with sage and pine nuts,sadness,0
519,Fuck yall @Panthers for hiring that GOP PR guy to discourage Cam from speakinh his mind and heart about racism,sadness,1
520,Some of these people at this protest are just there for the adrenaline rush. #depressing,sadness,2
521,@jamiesonhelen @MarianKeyes all three of my agin's on the pout .,sadness,1
522,"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy",sadness,3
523,"@AceOperative789 no pull him afew weeks ago, sadly theres no game audio or sound affects cause i played it on my phone and tryed everything",sadness,1
524,"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",sadness,0
525,"@OnesOwnGrief Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)",sadness,2
526,Incredibly shocked and disappointed with @united customer service. Really making me rethink flying with them in the future. #unhappy,sadness,3
527,"Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL",sadness,3
528,"Kudos to TC for benching Bruce. He isn't helping the team, so he rides pine. We have games to win. Discussion over. #Mets",sadness,0
529,If anybody needs me I'll be drowning my blues in a sea of whiskey ðŸ»,sadness,3
530,An hour played and @ASFCofficial have conceded less at West ham than @ManUtd have at northampton.  Let that sink in.,sadness,1
531,@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,2
532,FYI y'all can't mourn or celebrate shawty lo cause y'all ain't played his music since 08',sadness,1
533,and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,1
534,gloomy days should just be for high cuddles and movies,sadness,0
535,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,sadness,3
536,"Please bear with me, I'm not Twitter savvyðŸ˜ in real life I'm a Facebook person. Help me gain followers ðŸ¤“#blog #selfhelp #depression",sadness,2
537,@ArcadianLuthier -- taking out his feelings on Kei unfairly. His lips form a frown as he tries to walk away.,sadness,1
538,When you have 15 doe run the opposite side of you ðŸ™ #depression,sadness,3
539,I added Paul Walker on Xbox but he just spends all of his time on the dashboard.  #humor #funny,sadness,0
540,Sometimes the support network is causing the damage. \n\n#support #Damaged #alone #tired #lost #hurt #nojustice #depression #surivivor #NoMore,sadness,3
541,Don't get too close it's dark inside ðŸŒ«ðŸŒŠ,sadness,1
542,@InLuvWithAGhost I'm frowning at you intensely until you watch plastic memories.,sadness,1
543,@danhirtle @Bell Another unhappy customer.  #secreteyes,sadness,2
544,"#AskAMan but this does not sound like a #serious issue, cause siyahleka the whole time, just having fun",sadness,0
545,How long will they mourn me?,sadness,2
546,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,sadness,2
547,@HeyCaraJay I am inconsolable at this GIF in context,sadness,1
548,"@ChrisWarcraft species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even @gop frown on talking about eating humans #lizardscum",sadness,1
549,"After 3 idk why I start feeling so depress, sad and lonely.",sadness,3
550,One way ticket to the blues.,sadness,1
551,@janhopis I found the first few episodes of Bojack incredibly funny. Then it got less funny but I stayed for the #drama,sadness,0
552,@TheBenNatan szn 3 &gt;&gt;&gt; szn 1 &gt;&gt;&gt; szn 2. Just to warn you. Don't let szn 2 discourage you.,sadness,0
553,@ananavarro @tcarrels most of Trump supporters have not clue about the meaning of the words they used just like him  #nevertrump,sadness,2
554,The horrible puns for the day have been made. I shall return to my cage in a dark corner by myself while crying &amp; laughing hysterical now.,sadness,1
555,Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober ðŸ˜‚,sadness,0
556,Bojack Horseman: the saddest show ever written?? #depression #season1,sadness,3
557,@OpentheDoorRadi thanks for playing Crock Pot Going #radio #blog #blues #music #indiemusic,sadness,0
558,This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.,sadness,2
559,The American Idiot record turns twelve today it changed my preppy middle school heart into a desolate punk rock desert I am forever grateful,sadness,0
560,Finished writing my second book tonight. #somber #sad #youpromised #havemercy #author #writer #needpublisher #beingedited #workingonsidebook,sadness,1
561,"Haven't been here a while, been watching lots of TV. Conclusion #whataloadoftat...if I wasn't depressed before afternoon TV is #grim",sadness,3
562,@KatieBurnett ha freshers blues would love to re do all again ... ha nice tshirt .. vote for Pedro,sadness,0
563,The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days,sadness,2
564,When the surfer girl and i  don't speak the same language anymore.. #justsaying #sadness,sadness,2
565,@AriZernial @NesquikMills don't let him discourage you Z! That's one of the best ideas yet!,sadness,0
566,It's always over.. until I'm no longer sober... then it feels like I wana start over #UL,sadness,2
567,Just put the winter duvet on â˜ƒï¸â„ï¸ðŸŒ¬â˜”ï¸ ,sadness,0
568,@hyattd335 #Grateful for #novel #award #promo #RT - #Blessings DeWayne Hyatt #Hippie who loves to grind on the #blues #Florida,sadness,0
569,@_iConceitedOne_  Hi! We hate that you're unhappy your bill keeps going up! What unique features do you want with your plan? ^RobertS,sadness,0
570,Don't ever grow weary doing good....Don't just see the headlines; look at the trend lines for hope.' @billclinton #CGI2016,sadness,0
571,Life's too short to be frowning for so long,sadness,0
572,"oh, btw - after a 6 month depression-free time I got a relapse now... superb #depression",sadness,3
573,Jay Z and Brad Pitt cheated ..Bey stayed Angie left #cheaters #love #lust #sex #couples #relationships #date #marriage #divorce,sadness,0
574,I want to pour all my tears on someone right now. So tired of this #upset #sad,sadness,3
575,blues bar,sadness,0
576,"I'm onto you, @Sargon_of_Akkad, I know you secretly pine for a masculine order, objective morality, and disciplined transcendent pursuits.",sadness,0
577,Theyve substituted the hood for a badge and gun.' Public opinion is indictment of Charlotte police. #dark #sadtimes #america #race,sadness,2
578,I am worried that she felt safe. #unhappy,sadness,3
579,"236:416 While she was in her dull and sleeping hour,\nA crew of patches, rude mechanicals,\n#AMNDBots",sadness,1
580,@MariamVeiszadeh #depressing it's so freaking close !,sadness,2
